"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","6472.50202920407","7885.79654466735","9764.78997879329","11392.4558105764","12307.3117378314","13496.0031426418","14046.5037643078","14936.8272187795","16241.0465209443","16439.3563609282","16586.0684357542","17927.7496352086","19078.3431907515","19356.2033894901","20620.7006259175","20669.0319688645","20436.8871286309","20833.7616116694","22569.9749851801","23300.0395575696","24045.2724833547","25835.1326676284","27084.7036903653","24630.4537141023","23512.6025956397","24985.9932813737","24713.6980451285","26189.4355088129","26647.938100985","27980.8806952751","28281.35048163","29007.6930034887","","","",
"Afghanistan","AFG","GDP per capita (current US$)","NY.GDP.PCAP.CD","59.7731938409853","59.8608738790779","58.4580149495439","78.7063875407802","82.0952307131832","101.108304853377","137.594352053111","160.898588872438","129.108323102596","129.329712876621","156.518939442982","159.567578521888","135.31730831433","143.144649500081","173.653764639169","186.510897140201","197.445507551145","224.224797281134","247.354106347038","275.738197619262","272.655285650232","264.111317453061","","","","","","","","","","","","","","","","","","","","","179.426610967229","190.683814295088","211.382116942655","242.031284871985","263.733691663044","359.693237501395","364.6607447985","438.076034406941","543.303041863931","591.162759035926","641.871479157538","637.165523187024","613.856689167623","578.466352941708","509.218661332126","519.884773089339","493.750418116312","507.103431871987","",
"Angola","AGO","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","710.981648140027","642.383857952257","619.96135753111","623.440584831564","637.715230700475","758.237576171151","685.270085316704","756.261853027412","792.303120218644","890.554136459008","947.704182085371","865.69272959239","656.361755960006","441.200673252825","328.673294707808","397.179450769472","522.643807265256","514.295223223424","423.59366023208","387.784316047502","556.836318086553","527.333528536691","872.494491592841","982.960899291112","1255.56404471491","1902.42234554625","2599.56646397608","3121.99563726236","4080.94140992346","3122.78076649385","3587.88379824396","4615.46802807906","5100.09580809767","5254.88233799616","5408.41049555432","4166.97968386501","3506.07288506966","4095.81294155857","3289.64666408633","2790.72661520665","",
"Albania","ALB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","639.484735848211","639.865909445734","693.873474633887","674.793383069492","652.774321396566","697.995596576519","617.230435515505","336.586994504629","200.852219772323","367.279225077581","586.416339644261","750.604449178826","1009.97766752106","717.380567391734","813.790263555599","1033.2416930932","1126.68331762741","1281.65939343074","1425.12484888368","1846.11881331912","2373.57984371994","2673.78728253113","2972.74326462176","3595.03716321514","4370.54012699014","4114.14011404922","4094.3503344202","4437.14288515077","4247.62998374252","4413.06086120676","4578.6319939825","3952.80121524465","4124.05572595352","4531.02080555986","5284.38018438156","5353.2448564014","",
"Andorra","AND","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","3238.55684977329","3498.1736515232","4217.17358114253","5342.16856044208","6319.73903384837","7169.10100559556","7152.37513361051","7751.37021575891","9129.7061851808","11820.8493928325","12377.4116456877","10372.232834745","9610.26630831575","8022.65478128161","7728.90669456943","7774.39382903478","10361.8159820255","12616.167565929","14304.3569645785","15166.437850754","18878.5059692988","19532.5401504525","20547.7117897897","16516.4710272204","16234.8090102012","18461.0648581512","19017.1745902241","18353.0597218473","18894.5214963227","19261.7105038886","21854.2468030614","22971.535535508","25066.8822109807","32271.9639023596","37969.1749907994","40066.2569185146","42675.8127569297","47803.6936075266","48718.4968691913","43503.1855156769","40852.6667774434","43335.3288618283","38686.4612635075","39538.7667220426","41303.9293714464","35762.523073758","37474.6654057245","38962.8803536703","41793.0552583729","40886.3911648431","",
"Arab World","ARB","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","224.878110199808","240.035632180058","262.866281383423","295.971044936352","343.565815907606","423.135082646492","777.560678923855","836.208273754324","1007.14044235278","1123.14327287071","1193.74561749057","1563.70352388776","2052.95582243946","2050.76984325375","1864.87074322951","1699.21516557692","1672.2788318576","1606.75582747257","1489.840236819","1543.51322849752","1476.0412040835","1505.50490569541","2009.41513624547","1929.61343063288","2027.8288568798","1996.92236578232","1989.45616695471","2072.74455320341","2235.93417589666","2319.00218153049","2188.90362722992","2331.91527596567","2605.63326297453","2506.36753831974","2466.63934888185","2726.84213811341","3134.84063225458","3765.91816082875","4360.33505210762","4963.2247097275","6149.51148939803","5180.58149106294","5926.71296268116","6867.60019200019","7466.81181141866","7522.59534414922","7461.54515034611","6400.36035038446","6112.1059534046","6108.58822028271","6601.82518932287","6584.74024069285","",
"United Arab Emirates","ARE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","26847.7943802772","30118.1377833851","33823.3196498568","28456.7374380931","33512.741325999","42764.4566639901","44987.2097966579","40026.1662502465","34843.1028997611","32309.8077436844","29720.9194734633","23467.9766691997","23726.1523330469","22295.1461115987","24028.1928780116","27729.4664216648","26612.3355369691","26420.8727534823","25596.6922747864","25847.9261239252","27222.0358561647","28975.0229000791","29512.6637440248","26899.601766231","28470.8378632746","33291.419366353","31280.7842785952","31567.4737120596","33499.0937513705","36333.2498445266","39365.4339019123","41907.405655968","41809.516382842","44498.9342301633","32024.1816031187","33893.303514039","39194.6766208456","40976.4997112455","42412.6302780364","43751.8388860721","38663.3838066363","38141.8467585492","40644.804043392","43839.3563491413","43103.3230583165","",
"Argentina","ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","1155.89017025099","850.30473690206","1173.23821277123","1279.11343214531","1272.80297767396","1062.54355190601","1141.0804807929","1329.05865921566","1322.59080368944","1372.3743432739","1408.86520848881","2097.02257902742","2844.86364753884","2027.33712384746","1948.22468587272","2129.70828089903","2146.36448309866","2520.92163373012","2758.83521210768","2776.32199028147","2927.89756021605","3553.37775166279","2659.70860023312","2926.126969514","3613.62170927636","3562.87560174521","3985.19121035849","2383.86769311311","4333.48297312146","5735.36032735223","6823.5376160468","6969.11808781005","7483.13968170844","7408.70823818765","7721.35454273963","8213.12719994479","8289.50572933118","7774.73620280001","7708.10099605414","7208.3715665121","2593.40415042466","3349.8061244115","4277.72135064389","5109.85132522621","5919.01203707753","7245.44831728945","9020.87309807194","8225.13717626412","10385.9644319555","12848.8641969705","13082.664325572","13080.2547323367","12334.7982453893","13789.060424772","12790.2424732447","14613.0418246696","11633.4980086465","9912.28180859803","",
"Armenia","ARM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","637.854659491342","590.121047267559","369.632616583198","357.203277745679","400.515238080735","456.375048663809","504.058559449916","523.283068040748","609.172437516102","597.432514707894","622.742139063498","694.42322774468","783.240698647042","930.127321851799","1191.91901957402","1643.7530293611","2158.14369710179","3139.27749894333","4010.85724255226","2994.34254448509","3218.37270660563","3525.80474671153","3681.8574560431","3838.18580148382","3986.23162376713","3607.29669672271","3591.82927553023","3914.5012684128","4220.49027671249","4622.73349328671","",
"American Samoa","ASM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8700.06770480704","8856.54745899435","8578.94472277609","8444.98169974145","8391.56106721708","8909.44915617236","9792.66680581646","11961.2582255703","10271.2245225485","10294.3022651052","11568.7930012395","11505.3937142139","11507.2323493037","11843.3311832581","11696.9555623329","10823.4448040273","11466.6907058505","","",
"Antigua and Barbuda","ATG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","1246.75032905458","1416.5861996499","1760.717634441","2124.48115520353","2392.26107515282","2660.60115717135","2947.93553600212","3372.49289962607","3899.32872843063","4703.17940118439","5463.24127633961","6453.47700017448","7076.42221194876","7348.23391713105","7601.86544111931","7744.28008688374","8136.18854727449","8770.75218185866","8406.6037786731","9030.96104811864","9492.05788405833","9940.17343028596","10260.5994054155","10871.0057141966","10367.3196068161","10401.4494090489","10799.4488814161","11448.536516999","12557.085410458","13997.6659286487","15623.2506516942","16043.5421662397","14160.0722757203","13049.2570545735","12746.2050243357","13272.4413293826","12909.7441775006","13501.5809223367","14286.0931598293","15197.6174551735","15383.4151884998","16672.7442395764","17112.8211347326","",
"Australia","AUS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1807.78571021206","1874.73210577126","1851.84185074588","1964.1504696359","2128.06835509202","2277.55839760436","2340.43868460617","2576.2845085275","2720.08260948799","2986.94950744786","3299.84320663058","3489.95229368358","3943.7876390397","4763.6283896816","6473.16515297326","6994.30821815538","7476.74874774519","7765.07054434927","8241.99727587296","9281.52335605458","10194.3945390856","11833.7432115058","12766.5222521717","11518.6685192068","12431.9458488308","11437.7131376782","11364.2394626146","11624.6209607028","14254.5135644484","17798.5563713427","18211.5000581403","18821.7952597366","18570.1204617916","17634.534752009","18046.1364806876","20319.6306283956","21861.32550987","23468.5968306374","21318.9641694318","20533.035061907","21679.2478424147","19490.8611097303","20082.4832672749","23447.0310006717","30430.6764374443","33999.2428575835","36044.9228108485","40960.0544948199","49601.6567082178","42772.3591664498","52022.1255961876","62517.8337471503","68012.1479005934","68150.1070413215","62510.7911705641","56755.7217124249","49971.131456129","54027.9668184568","57354.9640455891","55060.3261005013","",
