alpha2,2015,2016,2017,2018,2019,2020,2021
AW,3.0340009125275477e-05,2.9657093387202923e-05,2.751346069660549e-05,2.6689336161027354e-05,2.6347186961907223e-05,2.6347186961907223e-05,2.6347186961907223e-05
AF,0.0009322605332979494,0.0011980482465478275,0.0013167697624351113,0.0013022351946091494,0.0013098027361548856,0.0013098027361548856,0.0013098027361548856
AO,0.001133991503645169,0.0011335379755856507,0.0011489329709182255,0.0011464245002350145,0.001163873884637128,0.001163873884637128,0.001163873884637128
AL,0.000597593732472874,0.000577022599474473,0.0005547864755753313,0.0005344130064438128,0.0005069574056563298,0.0005069574056563298,0.0005069574056563298
AD,2.4794282547275612e-05,2.2884483542761583e-05,1.894742718162041e-05,1.8297895539127783e-05,1.8015397266266757e-05,1.8015397266266757e-05,1.8015397266266757e-05
AE,0.0027493033554365784,0.0025639501477537773,0.002417409422569932,0.0024604836094149853,0.002470713502332526,0.002470713502332526,0.002470713502332526
AR,0.009625215308860346,0.009352318376755167,0.008793591308079341,0.008578287049150932,0.008515128678688038,0.008515128678688038,0.008515128678688038
AM,0.0005670745992182283,0.0005711619444076392,0.0005123600040222792,0.000495934342677745,0.0004884001960646968,0.0004884001960646968,0.0004884001960646968
AS,,,,,,,
AG,2.1480441870655667e-05,2.08611764611576e-05,1.9489147220008153e-05,1.8989431332487824e-05,1.882456349073637e-05,1.882456349073637e-05,1.882456349073637e-05
AU,0.0066048564043131525,0.006328912689252581,0.005721665299146893,0.005610691220300945,0.005598563073410006,0.005598563073410006,0.005598563073410006
AT,0.002379282321294525,0.0022271811829382877,0.0020789296298422025,0.0020121699952789698,0.001986731158627505,0.001986731158627505,0.001986731158627505
AZ,0.0024367753167250697,0.002306849496524491,0.002091961212156908,0.0020583275741895136,0.0020399803886280887,0.0020399803886280887,0.0020399803886280887
BI,0.00016214883660262225,0.00016403934397785943,7.741510274362661e-05,7.716165151655406e-05,7.824684153707362e-05,7.824684153707362e-05,7.824684153707362e-05
BE,0.003144863602262004,0.0029637626263863386,0.002680211196363829,0.0026288949098751554,0.00264687566367353,0.00264687566367353,0.00264687566367353
BJ,0.0003903840612039806,0.00039421779666420345,0.0006006174968579234,0.0005960710535234576,0.0006019576734739049,0.0006019576734739049,0.0006019576734739049
BF,0.0008315503624677798,0.00078693699751792,0.0008252428997314579,0.0008200796915193003,0.0008292485655111976,0.0008292485655111976,0.0008292485655111976
BD,0.007379502244560914,0.008605810442882871,0.006436188003110297,0.006280752864012983,0.005364285449372317,0.005364285449372317,0.005364285449372317
BG,0.0013337616500090719,0.0012891493808506024,0.0012057451775690253,0.001180968162010315,0.001208852940076183,0.001208852940076183,0.001208852940076183
BH,0.0004205763593033935,0.0004224176015633678,0.0003849497585030889,0.000401742423594162,0.0004173182553951844,0.0004173182553951844,0.0004173182553951844
BS,9.572656092883936e-05,9.140344514038826e-05,8.720131005451045e-05,8.506212377983455e-05,8.443410595838021e-05,8.443410595838021e-05,8.443410595838021e-05
BA,0.0005915971268098092,0.0006168579440578606,0.0005844487123844234,0.0006048246560823786,0.0005888732987365886,0.0005888732987365886,0.0005888732987365886
BY,0.001936771290742474,0.0020426915331247667,0.0018999497797151075,0.001947351912585617,0.0019988999130780634,0.0019988999130780634,0.0019988999130780634
BZ,4.923144908344601e-05,4.96452674976437e-05,4.754380223456342e-05,4.68031339700745e-05,4.687373397218636e-05,4.687373397218636e-05,4.687373397218636e-05
BM,2.1036760373440945e-05,1.9125345756370777e-05,1.6884667403997373e-05,1.6316787572345164e-05,1.603605144310222e-05,1.603605144310222e-05,1.603605144310222e-05
BO,0.0012677560891495034,0.0013239455084126358,0.00131840130103653,0.0012913547118822465,0.0012870580305550448,0.0012870580305550448,0.0012870580305550448
BR,0.039114478734689435,0.037939538821898024,0.037683206066997384,0.03667539074783989,0.036317425401452635,0.036317425401452635,0.036317425401452635
BB,7.122084681777234e-05,6.873107175617651e-05,6.288938660954477e-05,6.0816113715785013e-05,5.985169440672167e-05,5.985169440672167e-05,5.985169440672167e-05
BN,9.688529433772386e-05,0.00011422074943224257,0.00010821224037948804,0.00010530407551340089,0.00010498055190700629,0.00010498055190700629,0.00010498055190700629
BT,9.500961959020607e-05,9.303525331812023e-05,9.638348870075731e-05,9.417514672576484e-05,9.362489650812363e-05,9.362489650812363e-05,9.362489650812363e-05
BW,0.00025951311642839444,0.00025703409976684117,0.000278512175713893,0.0002749231226588997,0.0002761434883170052,0.0002761434883170052,0.0002761434883170052
CF,5.599684448867276e-05,5.487247999882955e-05,5.3593221356136817e-05,5.2544796789090575e-05,5.251452154359391e-05,5.251452154359391e-05,5.251452154359391e-05
CA,0.01053836430077822,0.009951434680569537,0.008936386202509139,0.00875096278768055,0.008724022630512975,0.008724022630512975,0.008724022630512975
CH,0.0023762241474831235,0.0022563449284759432,0.0020369901562112464,0.0019815762507190368,0.002037050932489517,0.002037050932489517,0.002037050932489517
CL,0.0045160461691095295,0.004599799845419703,0.004086341606221738,0.004001275447254839,0.003979352742412959,0.003979352742412959,0.003979352742412959
CN,0.2262050162520249,0.2217330568591219,0.20230160914471587,0.19624652802362372,0.19356643321558692,0.19356643321558692,0.19356643321558692
CI,0.002928111309187315,0.0029677733295175074,0.0028789777129053697,0.0030460843679993373,0.002390930778002303,0.002390930778002303,0.002390930778002303
CM,0.0015801752038882152,0.0016783559930793127,0.0015317641725344172,0.001518307157928144,0.001531296367277087,0.001531296367277087,0.001531296367277087
CD,0.0009502097346589975,0.0014791623782663644,0.0018855261598003411,0.0018804796373445597,0.0019080350362940279,0.0019080350362940279,0.0019080350362940279
CG,0.00012129405249626139,0.00012230292050340437,0.0001187980166491443,0.0001177183250072645,0.0001187000715983716,0.0001187000715983716,0.0001187000715983716
CO,0.008712850995998986,0.008467030029206327,0.008183087982725708,0.00802342118465071,0.008346020632957508,0.008346020632957508,0.008346020632957508
KM,1.9018443643980286e-05,1.9093215344796616e-05,1.8543060892907082e-05,1.8311702183478417e-05,1.8398613261476122e-05,1.8398613261476122e-05,1.8398613261476122e-05
CV,7.345107764789535e-05,8.080510044829639e-05,8.256514428748567e-05,8.208382494564332e-05,8.158916128967638e-05,8.158916128967638e-05,8.158916128967638e-05
CR,0.000950177080039854,0.0009757853904826926,0.0009496333014581373,0.0009611640223167792,0.0010453533205394153,0.0010453533205394153,0.0010453533205394153
CU,0.0013855593334348214,0.0014727839320506835,0.0017414109668582316,0.001681438689735192,0.0017873865477429744,0.0017873865477429744,0.0017873865477429744
CW,3.2390110860510814e-05,2.985694641984614e-05,2.9324309654966252e-05,2.825091619138643e-05,2.737268877919944e-05,2.737268877919944e-05,2.737268877919944e-05
KY,1.5587335927866807e-05,1.4943294892458125e-05,1.380785809166859e-05,1.3500261579892684e-05,1.3428429568987658e-05,1.3428429568987658e-05,1.3428429568987658e-05
CY,0.00027306696852929944,0.0002685086314414689,0.00025596624537743256,0.00026057285195665294,0.0002630851382371022,0.0002630851382371022,0.0002630851382371022
CZ,0.002617183362186201,0.002443087420199097,0.002241151006393555,0.0022257458486210123,0.002200568853755087,0.002200568853755087,0.002200568853755087
DE,0.023465592286531046,0.020953144377607615,0.01874612307187387,0.019306420078771244,0.018686584971967794,0.018686584971967794,0.018686584971967794
DJ,3.5738281508868505e-05,3.6893928490425286e-05,0.00014126653343048574,0.00013855676812519276,0.00013825615040234622,0.00013825615040234622,0.00013825615040234622
