,name,marketshare,jurisdiction_alpha2,measurement_scope,market,date
0,Cloudflare,0.25730000000000003,US,top_10k,dns_servers,2021-01-01 00:06:00
1,Amazon,0.24050000000000002,US,top_10k,dns_servers,2021-01-01 00:06:00
2,Akamai,0.0548,US,top_10k,dns_servers,2021-01-01 00:06:00
3,Google,0.028300000000000002,US,top_10k,dns_servers,2021-01-01 00:06:00
4,NS1,0.0275,US,top_10k,dns_servers,2021-01-01 00:06:00
5,Alibaba Group,0.0255,CN,top_10k,dns_servers,2021-01-01 00:06:00
8,Tencent,0.0252,CN,top_10k,dns_servers,2021-01-01 00:06:00
9,Neustar UltraDNS,0.0208,US,top_10k,dns_servers,2021-01-01 00:06:00
10,DNS Made Easy,0.0151,US,top_10k,dns_servers,2021-01-01 00:06:00
11,Oracle Dyn,0.015,US,top_10k,dns_servers,2021-01-01 00:06:00
12,GoDaddy Group,0.0147,US,top_10k,dns_servers,2021-01-01 00:06:00
16,RBC Group,0.0095,RU,top_10k,dns_servers,2021-01-01 00:06:00
20,Microsoft,0.006999999999999999,US,top_10k,dns_servers,2021-01-01 00:06:00
21,CSC,0.0060999999999999995,US,top_10k,dns_servers,2021-01-01 00:06:00
22,ClouDNS,0.0054,BG,top_10k,dns_servers,2021-01-01 00:06:00
23,Namecheap,0.005,US,top_10k,dns_servers,2021-01-01 00:06:00
24,ArvanCloud,0.0045000000000000005,DE,top_10k,dns_servers,2021-01-01 00:06:00
25,OVH,0.0037,FR,top_10k,dns_servers,2021-01-01 00:06:00
26,Automattic,0.0037,US,top_10k,dns_servers,2021-01-01 00:06:00
27,Newfold Digital,0.0034999999999999996,US,top_10k,dns_servers,2021-01-01 00:06:00
36,United Internet,0.0034999999999999996,DE,top_10k,dns_servers,2021-01-01 00:06:00
44,DigitalOcean,0.0032,US,top_10k,dns_servers,2021-01-01 00:06:00
45,Verizon Group,0.0031,US,top_10k,dns_servers,2021-01-01 00:06:00
48,DNSimple,0.0029,US,top_10k,dns_servers,2021-01-01 00:06:00
49,Internet Initiative Japan,0.0029,,top_10k,dns_servers,2021-01-01 00:06:00
50,Hetzner,0.0028000000000000004,DE,top_10k,dns_servers,2021-01-01 00:06:00
51,Linode,0.0025,US,top_10k,dns_servers,2021-01-01 00:06:00
52,Asiatech,0.0024,IN,top_10k,dns_servers,2021-01-01 00:06:00
53,Gandi,0.0023,FR,top_10k,dns_servers,2021-01-01 00:06:00
54,Rackspace,0.0023,US,top_10k,dns_servers,2021-01-01 00:06:00
55,team.blue,0.0022,DK,top_10k,dns_servers,2021-01-01 00:06:00
61,GMO Internet Group,0.0021,JP,top_10k,dns_servers,2021-01-01 00:06:00
67,Yandex,0.0021,RU,top_10k,dns_servers,2021-01-01 00:06:00
68,easyDNS Group,0.0018,CA,top_10k,dns_servers,2021-01-01 00:06:00
71,REG.RU,0.0017000000000000001,RU,top_10k,dns_servers,2021-01-01 00:06:00
72,Sakura,0.0017000000000000001,JP,top_10k,dns_servers,2021-01-01 00:06:00
73,DNS.com,0.0016,US,top_10k,dns_servers,2021-01-01 00:06:00
74,IBM,0.0016,US,top_10k,dns_servers,2021-01-01 00:06:00
75,Aruba Group,0.0015,IT,top_10k,dns_servers,2021-01-01 00:06:00
77,AT&T,0.0015,US,top_10k,dns_servers,2021-01-01 00:06:00
78,Chunghwa Telecom,0.0014000000000000002,TW,top_10k,dns_servers,2021-01-01 00:06:00
79,Tucows Group,0.0013,US,top_10k,dns_servers,2021-01-01 00:06:00
82,XServer,0.0012,JP,top_10k,dns_servers,2021-01-01 00:06:00
83,Name.com,0.0012,US,top_10k,dns_servers,2021-01-01 00:06:00
84,XinNet,0.001,CN,top_10k,dns_servers,2021-01-01 00:06:00
85,MarkMonitor,0.001,US,top_10k,dns_servers,2021-01-01 00:06:00
86,Ezoic,0.0009,US,top_10k,dns_servers,2021-01-01 00:06:00
87,VNPT,0.0009,VN,top_10k,dns_servers,2021-01-01 00:06:00
88,SiteGround,0.0008,BG,top_10k,dns_servers,2021-01-01 00:06:00
89,DreamHost,0.0008,US,top_10k,dns_servers,2021-01-01 00:06:00
90,PA Vietnam,0.0008,VN,top_10k,dns_servers,2021-01-01 00:06:00
91,Internet.BS,0.0008,BS,top_10k,dns_servers,2021-01-01 00:06:00
92,InMotion,0.0007000000000000001,US,top_10k,dns_servers,2021-01-01 00:06:00
93,Selectel,0.0007000000000000001,RU,top_10k,dns_servers,2021-01-01 00:06:00
94,Choopa,0.0006,US,top_10k,dns_servers,2021-01-01 00:06:00
95,Enartia Group,0.0006,CY,top_10k,dns_servers,2021-01-01 00:06:00
98,FastVPS,0.0006,EE,top_10k,dns_servers,2021-01-01 00:06:00
99,Total Uptime,0.0006,,top_10k,dns_servers,2021-01-01 00:06:00
100,Hostinger,0.0005,CY,top_10k,dns_servers,2021-01-01 00:06:00
101,A2 Hosting,0.0005,US,top_10k,dns_servers,2021-01-01 00:06:00
102,MiroHost,0.0005,UA,top_10k,dns_servers,2021-01-01 00:06:00
103,Liquid Web,0.0005,US,top_10k,dns_servers,2021-01-01 00:06:00
104,Hivelocity,0.0005,US,top_10k,dns_servers,2021-01-01 00:06:00
105,Gabia,0.0005,KR,top_10k,dns_servers,2021-01-01 00:06:00
106,DDoS-Guard,0.0005,RU,top_10k,dns_servers,2021-01-01 00:06:00
107,Netafraz,0.0003,IR,top_10k,dns_servers,2021-01-01 00:06:00
108,Prom.ua,0.0003,UA,top_10k,dns_servers,2021-01-01 00:06:00
109,Contabo,0.0003,DE,top_10k,dns_servers,2021-01-01 00:06:00
110,NameSilo,0.0003,US,top_10k,dns_servers,2021-01-01 00:06:00
111,XBT Holding,0.0003,US,top_10k,dns_servers,2021-01-01 00:06:00
113,Sucuri,0.0003,US,top_10k,dns_servers,2021-01-01 00:06:00
114,Cisco,0.0003,,top_10k,dns_servers,2021-01-01 00:06:00
115,Mihan,0.0002,IN,top_10k,dns_servers,2021-01-01 00:06:00
116,Hoster.by,0.0002,BY,top_10k,dns_servers,2021-01-01 00:06:00
117,Cafe24,0.0002,JP,top_10k,dns_servers,2021-01-01 00:06:00
118,Visma Group,0.0002,NO,top_10k,dns_servers,2021-01-01 00:06:00
120,Scaleway,0.0002,FR,top_10k,dns_servers,2021-01-01 00:06:00
121,Infomaniak,0.0002,CH,top_10k,dns_servers,2021-01-01 00:06:00
122,WPX Hosting,0.0002,BG,top_10k,dns_servers,2021-01-01 00:06:00
123,Pair Networks,0.0002,US,top_10k,dns_servers,2021-01-01 00:06:00
124,cdmon,0.0002,ES,top_10k,dns_servers,2021-01-01 00:06:00
125,SiteSell,0.0002,,top_10k,dns_servers,2021-01-01 00:06:00
126,StackPath,0.0002,US,top_10k,dns_servers,2021-01-01 00:06:00
127,Mail.Ru,0.0002,RU,top_10k,dns_servers,2021-01-01 00:06:00
128,Liberty Global Group,0.0002,,top_10k,dns_servers,2021-01-01 00:06:00
131,ironDNS,0.0002,,top_10k,dns_servers,2021-01-01 00:06:00
132,NetEase,0.0002,,top_10k,dns_servers,2021-01-01 00:06:00
133,TimeWeb,0.0001,RU,top_10k,dns_servers,2021-01-01 00:06:00
134,Hosting Ukraine,0.0001,UA,top_10k,dns_servers,2021-01-01 00:06:00
135,Squarespace,0.0001,US,top_10k,dns_servers,2021-01-01 00:06:00
136,One.com,0.0001,DK,top_10k,dns_servers,2021-01-01 00:06:00
137,Masterhost,0.0001,RU,top_10k,dns_servers,2021-01-01 00:06:00
138,FirstVDS,0.0001,RU,top_10k,dns_servers,2021-01-01 00:06:00
139,Mizbanfa,0.0001,IR,top_10k,dns_servers,2021-01-01 00:06:00
140,Internet Hosting Center,0.0001,RU,top_10k,dns_servers,2021-01-01 00:06:00
141,BanaHosting,0.0001,US,top_10k,dns_servers,2021-01-01 00:06:00
142,Webempresa,0.0001,ES,top_10k,dns_servers,2021-01-01 00:06:00
143,Dinahosting,0.0001,ES,top_10k,dns_servers,2021-01-01 00:06:00
144,Hostiran,0.0001,IR,top_10k,dns_servers,2021-01-01 00:06:00
145,Locaweb,0.0001,BR,top_10k,dns_servers,2021-01-01 00:06:00
146,Hostpoint,0.0001,,top_10k,dns_servers,2021-01-01 00:06:00
147,Interneto Vizija,0.0001,LT,top_10k,dns_servers,2021-01-01 00:06:00
148,Registro.br,0.0001,BR,top_10k,dns_servers,2021-01-01 00:06:00
149,Zone Media,0.0001,,top_10k,dns_servers,2021-01-01 00:06:00
150,CSL,0.0001,,top_10k,dns_servers,2021-01-01 00:06:00
151,No-IP,0.0001,US,top_10k,dns_servers,2021-01-01 00:06:00
152,Internet Thailand,0.0001,TH,top_10k,dns_servers,2021-01-01 00:06:00
153,Comodo,0.0001,,top_10k,dns_servers,2021-01-01 00:06:00
154,VSHosting,0.0001,CZ,top_10k,dns_servers,2021-01-01 00:06:00
155,CtrlS,0.0001,IN,top_10k,dns_servers,2021-01-01 00:06:00
156,1984 Hosting,0.0001,IS,top_10k,dns_servers,2021-01-01 00:06:00
157,Deninet,0.0001,,top_10k,dns_servers,2021-01-01 00:06:00
0,United States,0.43229999999999996,US,top_10k,server_locations,2021-01-01 00:06:00
2,Germany,0.18989999999999999,DE,top_10k,server_locations,2021-01-01 00:06:00
3,France,0.1329,FR,top_10k,server_locations,2021-01-01 00:06:00
5,China,0.11470000000000001,CN,top_10k,server_locations,2021-01-01 00:06:00
9,Japan,0.0576,JP,top_10k,server_locations,2021-01-01 00:06:00
10,Russian Federation,0.054900000000000004,RU,top_10k,server_locations,2021-01-01 00:06:00
11,Netherlands,0.0481,NL,top_10k,server_locations,2021-01-01 00:06:00
13,Italy,0.0436,IT,top_10k,server_locations,2021-01-01 00:06:00
14,United Kingdom,0.0417,GB,top_10k,server_locations,2021-01-01 00:06:00
17,India,0.030600000000000002,IN,top_10k,server_locations,2021-01-01 00:06:00
18,South Korea,0.030600000000000002,KR,top_10k,server_locations,2021-01-01 00:06:00
19,Ireland,0.0297,IE,top_10k,server_locations,2021-01-01 00:06:00
20,Singapore,0.0286,SG,top_10k,server_locations,2021-01-01 00:06:00
21,Iran,0.024900000000000002,IR,top_10k,server_locations,2021-01-01 00:06:00
22,Austria,0.018799999999999997,AT,top_10k,server_locations,2021-01-01 00:06:00
23,Canada,0.0175,CA,top_10k,server_locations,2021-01-01 00:06:00
24,Spain,0.015300000000000001,ES,top_10k,server_locations,2021-01-01 00:06:00
25,Turkey,0.0129,TR,top_10k,server_locations,2021-01-01 00:06:00
