1.,Amazon,25.8%
2.,Google,9.9%
3.,Alibaba,4.6%
4.,China Telecom,3.3%
5.,Tencent,2.6%
6.,Salesforce,2.4%
7.,China Unicom,2.3%
8.,Microsoft,1.9%
9.,OVH,1.7%
10.,Verizon Group,1.7%
10.1.,    Verizon,1.3%
10.2.,    Yahoo,0.4%
10.3.,    Verizon Media,0.2%
11.,Automattic,1.6%
12.,Hetzner,1.0%
13.,Asiatech,0.8%
14.,NTT Group,0.6%
14.1.,    Netmagic,0.3%
14.2.,    NTT Communications,0.3%
15.,IBM,0.5%
16.,Oracle,0.5%
17.,Rackspace,0.4%
18.,LeaseWeb Group,0.4%
18.1.,    LeaseWeb,0.4%
19.,Chunghwa Telecom,0.4%
20.,CenturyLink,0.4%
21.,Neustar,0.4%
22.,IDC Frontier,0.4%
23.,Squarespace,0.3%
24.,Pars Online,0.3%
25.,Hurricane Electric,0.3%
26.,Baidu,0.3%
27.,China Mobile,0.3%
28.,GoDaddy Group,0.2%
28.1.,    GoDaddy,0.1%
28.2.,    PlusServer,0.1%
29.,United Internet,0.2%
29.1.,    1&1 IONOS,0.2%
30.,GitHub,0.2%
31.,XBT Holding,0.2%
31.1.,    Webzilla,0.1%
31.2.,    Servers.com,0.1%
32.,SK Group,0.2%
32.1.,    SK Broadband,0.1%
32.2.,    SK Telecom,0.1%
33.,Advanced Hosting,0.2%
34.,AT&T,0.2%
35.,Afranet,0.2%
36.,Yandex,0.2%
37.,Cisco,0.2%
38.,Newfold Digital,0.1%
38.1.,    Endurance,0.1%
39.,Linode,0.1%
40.,REG.RU,0.1%
41.,Internap Group,0.1%
41.1.,    Internap,0.1%
42.,RBC Group,0.1%
42.1.,    RosBusinessConsulting,0.1%
43.,Radore,0.1%
44.,Weebly,0.1%
45.,VNPT,0.1%
46.,Hivelocity,0.1%
47.,Rostelecom Group,0.1%
47.1.,    RTComm.RU,0.1%
48.,Aruba Group,0.1%
48.1.,    Aruba,0.1%
49.,Viettel,0.1%
50.,QuadraNet,0.1%
51.,Masterhost,0.1%
52.,TierPoint,0.1%
53.,Exabytes Group,0.1%
53.1.,    Exabytes,0.1%
54.,Pair Networks,0.1%
55.,PS Internet Company,0.1%
56.,Hostiran,0.1%
57.,Psychz,0.1%
58.,Comcast,0.1%
59.,HKBN,0.1%
60.,Zoho,0.1%
61.,Kamatera,0.1%
62.,NetEase,0.1%
63.,Turkmentelecom,0.1%
