Data Center Providers,Percentage Top 10,000 Sites
Amazon,24.54%
Google,5.42%
Alibaba,3.33%
China Telecom,2.31%
Microsoft,1.93%
OVH,1.90%
Hetzner,1.72%
China Unicom,1.27%
Automattic,1.15%
DigitalOcean,1.13%
Tencent,1.05%
Salesforce,0.93%
Verizon Group,0.83%
LeaseWeb Group,0.60%
Asiatech,0.54%
Linode,0.52%
Rackspace,0.49%
Hurricane Electric,0.46%
GoDaddy Group,0.41%
NTT Group,0.41%
XBT Holding,0.40%
Selectel,0.34%
Advanced Hosting,0.33%
United Internet,0.32%
Internap Group,0.32%
KT Group,0.32%
Sakura,0.29%
Yandex,0.29%
Neustar,0.28%
IBM,0.27%
Internet Initiative Japan,0.27%
Squarespace,0.24%
Liquid Web,0.24%
GitHub,0.24%
Oracle,0.24%
Newfold Digital,0.23%
Scaleway,0.23%
CenturyLink,0.23%
SH.cz,0.23%
China Mobile,0.21%
Chunghwa Telecom,0.20%
IDC Frontier,0.20%
CSC,0.19%
VNPT,0.17%
Hivelocity,0.17%
Vodafone,0.17%
Equinix,0.16%
Choopa,0.15%
Deutsche Telekom Group,0.15%
AT&T,0.15%
GMO Internet Group,0.14%
Performive,0.14%
Afranet,0.14%
REG.RU,0.12%
InMotion,0.12%
Zoho,0.12%
Pars Online,0.11%
Serverel,0.11%
SK Group,0.11%
Delta Telecom,0.11%
Namecheap,0.10%
team.blue,0.10%
DreamHost,0.10%
Contabo,0.10%
XServer,0.10%
Aruba Group,0.10%
Cnservers,0.10%
Radore,0.08%
Rostelecom Group,0.08%
Pars Parva System,0.08%
QuadraNet,0.08%
PhoenixNAP,0.08%
Pair Networks,0.08%
A2 Hosting,0.07%
First Colo,0.07%
Cogent,0.07%
HKBN,0.07%
Baidu,0.07%
NetEase,0.07%
Hostinger,0.06%
FirstVDS,0.06%
FPT,0.06%
Cogeco Group,0.06%
Steadfast,0.06%
CtrlS,0.06%
Telia Company Group,0.06%
Codero,0.06%
UCloud,0.06%
Viettel,0.05%
Tebyan,0.05%
Ntirety,0.05%
MiroHost,0.05%
Voxility,0.05%
M247,0.05%
RBC Group,0.03%
PrivateSystems,0.03%
UpCloud,0.03%
PS Internet Company,0.03%
Zomro,0.03%
Hostiran,0.03%
Flexential,0.03%
DEAC,0.03%
Telecom Egypt,0.03%
Cisco,0.03%
Weebly,0.02%
EuroByte,0.02%
Mihan,0.02%
Beltelecom,0.02%
iomart Group,0.02%
Masterhost,0.02%
TierPoint,0.02%
Exabytes Group,0.02%
Faraso Samaneh Pasargad,0.02%
Confluence-Networks,0.02%
Hostiserver,0.02%
VSHosting,0.02%
Dinahosting,0.02%
Tucows Group,0.02%
Master Internet,0.02%
Psychz,0.02%
Expedient,0.02%
Casablanca,0.02%
Internet Thailand,0.02%
Sharktech,0.02%
New World Telecom,0.02%
GlobalConnect,0.02%
ETECSA,0.02%
Turkmentelecom,0.02%
TimeWeb,0.01%
Aerotek,0.01%
PA Vietnam,0.01%
ServerCentral,0.01%
Xneelo,0.01%
CS LoxInfo,0.01%
InterServer,0.01%
One.com,0.01%
Serverpars,0.01%
Veridyen,0.01%
Infomaniak,0.01%
WPX Hosting,0.01%
Gandi,0.01%
UKFast,0.01%
FastVPS,0.01%
CAT Telecom,0.01%
Enartia Group,0.01%
Interneto Vizija,0.01%
ColoCrossing,0.01%
Locaweb,0.01%
Cellcom,0.01%
Comcast,0.01%
Hostwinds,0.01%
Romarg,0.01%
WebSupport,0.01%
Seeweb,0.01%
EGIHosting,0.01%
TheGigabit,0.01%
Serverius,0.01%
PTisp,0.01%
Sedmi Odjel,0.01%
Alwaysdata,0.01%
Kamatera,0.01%
Telecom Algeria,0.01%
National DC Mongolia,0.01%
