1.,Cloudflare,25.89%
2.,Amazon,24.02%
3.,Akamai,5.59%
4.,Google,2.89%
5.,NS1,2.86%
6.,Tencent,2.63%
7.,Alibaba Group,2.50%
7.1.,    Alibaba,1.46%
7.2.,    HiChina,1.05%
8.,Neustar UltraDNS,2.10%
9.,GoDaddy Group,1.57%
9.1.,    GoDaddy,1.50%
9.2.,    Host Europe,0.05%
9.3.,    Media Temple,0.01%
9.4.,    123-reg,0.01%
10.,DNS Made Easy,1.53%
11.,Oracle Dyn,1.43%
12.,RBC Group,0.93%
12.1.,    RU-Center,0.86%
12.2.,    R01,0.05%
12.3.,    RosBusinessConsulting,0.02%
13.,Microsoft,0.68%
14.,CSC,0.61%
15.,ClouDNS,0.52%
16.,Namecheap,0.48%
17.,ArvanCloud,0.47%
18.,OVH,0.37%
19.,Automattic,0.37%
20.,Newfold Digital,0.33%
20.1.,    Network Solutions,0.10%
20.2.,    Register.com,0.08%
20.3.,    ResellerClub,0.06%
20.4.,    Bluehost,0.03%
20.5.,    HostNine,0.02%
20.6.,    Endurance,0.01%
20.7.,    BigRock,0.01%
20.8.,    Domain.com,0.01%
21.,United Internet,0.31%
21.1.,    1&1 IONOS,0.18%
21.2.,    InterNetX,0.06%
21.3.,    Strato,0.02%
21.4.,    home.pl,0.02%
21.5.,    Arsys,0.01%
21.6.,    World4You,0.01%
22.,DNSimple,0.31%
23.,Hetzner,0.30%
24.,Verizon Group,0.29%
24.1.,    Verizon,0.23%
24.2.,    Yahoo,0.06%
25.,Internet Initiative Japan,0.28%
26.,DigitalOcean,0.27%
27.,Gandi,0.24%
28.,Linode,0.23%
29.,Rackspace,0.22%
30.,team.blue,0.21%
30.1.,    Register.it,0.13%
30.2.,    Natro,0.05%
30.3.,    TransIP,0.01%
30.4.,    Names.co.uk,0.01%
30.5.,    SuperHosting.BG,0.01%
31.,Asiatech,0.21%
32.,Yandex,0.20%
33.,GMO Internet Group,0.18%
33.1.,    Onamae,0.08%
33.2.,    GMO Internet,0.06%
33.3.,    GMO Pepabo,0.03%
33.4.,    Lolipop,0.01%
33.5.,    Color Me Shop,0.01%
34.,IBM,0.18%
35.,REG.RU,0.17%
36.,easyDNS Group,0.17%
36.1.,    easyDNS,0.14%
36.2.,    ZoneEdit,0.03%
37.,Aruba Group,0.16%
37.1.,    Aruba,0.16%
38.,Chunghwa Telecom,0.16%
39.,DNS.com,0.15%
40.,Sakura,0.14%
41.,AT&T,0.14%
42.,XServer,0.13%
43.,XinNet,0.13%
44.,Tucows Group,0.12%
44.1.,    eNom,0.09%
44.2.,    Tucows,0.02%
45.,MarkMonitor,0.12%
46.,Name.com,0.10%
47.,DreamHost,0.09%
48.,Ezoic,0.09%
49.,VNPT,0.09%
50.,PA Vietnam,0.08%
51.,InMotion,0.08%
52.,Internet.BS,0.08%
53.,SiteGround,0.07%
54.,Choopa,0.07%
55.,Selectel,0.07%
56.,DDoS-Guard,0.07%
57.,Hostinger,0.06%
58.,Gabia,0.06%
59.,A2 Hosting,0.05%
60.,MiroHost,0.05%
61.,Enartia Group,0.05%
61.1.,    Papaki,0.03%
61.2.,    Top.Host,0.01%
62.,Liquid Web,0.05%
63.,FastVPS,0.05%
64.,XBT Holding,0.05%
64.1.,    Webzilla,0.05%
65.,Hivelocity,0.05%
66.,Sucuri,0.05%
67.,Total Uptime,0.05%
68.,Mihan,0.03%
69.,Netafraz,0.03%
70.,Hoster.by,0.03%
71.,Pair Networks,0.03%
72.,NetEase,0.03%
73.,Cisco,0.03%
74.,Prom.ua,0.02%
75.,One.com,0.02%
76.,Cafe24,0.02%
77.,NameSilo,0.02%
78.,Visma Group,0.02%
78.1.,    Active 24,0.02%
79.,Scaleway,0.02%
80.,Infomaniak,0.02%
81.,WPX Hosting,0.02%
82.,cdmon,0.02%
83.,StackPath,0.02%
84.,Liberty Global Group,0.02%
84.1.,    Telenet,0.01%
84.2.,    Virgin Media,0.01%
85.,ironDNS,0.02%
86.,TimeWeb,0.01%
87.,Squarespace,0.01%
88.,Güzel Hosting,0.01%
89.,Contabo,0.01%
90.,Masterhost,0.01%
91.,FirstVDS,0.01%
92.,Internet Hosting Center,0.01%
93.,BanaHosting,0.01%
94.,Dinahosting,0.01%
95.,Hostiran,0.01%
96.,Locaweb,0.01%
97.,Hostpoint,0.01%
98.,Interneto Vizija,0.01%
99.,SiteSell,0.01%
100.,Zone Media,0.01%
101.,CSL,0.01%
102.,No-IP,0.01%
103.,Mail.Ru,0.01%
104.,Comodo,0.01%
105.,Internet Thailand,0.01%
106.,VSHosting,0.01%
107.,CtrlS,0.01%
108.,1984 Hosting,0.01%
109.,Deninet,0.01%
