Cloudflare,25.89%
Amazon,24.02%
Akamai,5.59%
Google,2.89%
NS1,2.86%
Tencent,2.63%
Alibaba Group,2.50%
Neustar UltraDNS,2.10%
GoDaddy Group,1.57%
DNS Made Easy,1.53%
Oracle Dyn,1.43%
RBC Group,0.93%
Microsoft,0.68%
CSC,0.61%
ClouDNS,0.52%
Namecheap,0.48%
ArvanCloud,0.47%
OVH,0.37%
Automattic,0.37%
Newfold Digital,0.33%
United Internet,0.31%
DNSimple,0.31%
Hetzner,0.30%
Verizon Group,0.29%
Internet Initiative Japan,0.28%
DigitalOcean,0.27%
Gandi,0.24%
Linode,0.23%
Rackspace,0.22%
team.blue,0.21%
Asiatech,0.21%
Yandex,0.20%
GMO Internet Group,0.18%
IBM,0.18%
REG.RU,0.17%
easyDNS Group,0.17%
Aruba Group,0.16%
Chunghwa Telecom,0.16%
DNS.com,0.15%
Sakura,0.14%
AT&T,0.14%
XServer,0.13%
XinNet,0.13%
Tucows Group,0.12%
MarkMonitor,0.12%
Name.com,0.10%
DreamHost,0.09%
Ezoic,0.09%
VNPT,0.09%
PA Vietnam,0.08%
InMotion,0.08%
Internet.BS,0.08%
SiteGround,0.07%
Choopa,0.07%
Selectel,0.07%
DDoS-Guard,0.07%
Hostinger,0.06%
Gabia,0.06%
A2 Hosting,0.05%
MiroHost,0.05%
Enartia Group,0.05%
Liquid Web,0.05%
FastVPS,0.05%
XBT Holding,0.05%
Hivelocity,0.05%
Sucuri,0.05%
Total Uptime,0.05%
Mihan,0.03%
Netafraz,0.03%
Hoster.by,0.03%
Pair Networks,0.03%
NetEase,0.03%
Cisco,0.03%
Prom.ua,0.02%
One.com,0.02%
Cafe24,0.02%
NameSilo,0.02%
Visma Group,0.02%
Scaleway,0.02%
Infomaniak,0.02%
WPX Hosting,0.02%
cdmon,0.02%
StackPath,0.02%
Liberty Global Group,0.02%
ironDNS,0.02%
TimeWeb,0.01%
Squarespace,0.01%
Güzel Hosting,0.01%
Contabo,0.01%
Masterhost,0.01%
FirstVDS,0.01%
Internet Hosting Center,0.01%
BanaHosting,0.01%
Dinahosting,0.01%
Hostiran,0.01%
Locaweb,0.01%
Hostpoint,0.01%
Interneto Vizija,0.01%
SiteSell,0.01%
Zone Media,0.01%
CSL,0.01%
No-IP,0.01%
Mail.Ru,0.01%
Comodo,0.01%
Internet Thailand,0.01%
VSHosting,0.01%
CtrlS,0.01%
1984 Hosting,0.01%
Deninet,0.01%
