DNS Server Providers,Percentage Top 1,000 Sites
Amazon,26.8%
Cloudflare,14.5%
Akamai,9.7%
NS1,7.3%
Google,6.6%
Neustar UltraDNS,4.8%
Oracle Dyn,3.9%
Alibaba Group,3.7%
Tencent,3.4%
DNS Made Easy,1.3%
RBC Group,0.9%
Microsoft,0.8%
ClouDNS,0.8%
Verizon Group,0.8%
GoDaddy Group,0.7%
CSC,0.7%
Automattic,0.6%
United Internet,0.4%
Internet Initiative Japan,0.4%
ArvanCloud,0.3%
Chunghwa Telecom,0.3%
AT&T,0.3%
Newfold Digital,0.2%
Yandex,0.2%
DNSimple,0.2%
Cisco,0.2%
Tucows Group,0.1%
Squarespace,0.1%
Gandi,0.1%
Aruba Group,0.1%
Rackspace,0.1%
Choopa,0.1%
DNS.com,0.1%
Masterhost,0.1%
IBM,0.1%
VNPT,0.1%
Selectel,0.1%
Gabia,0.1%
Asiatech,0.1%
StackPath,0.1%
Mail.Ru,0.1%
Total Uptime,0.1%
