1.,United States and territories,45.63%
1.1.,    United States,45.63%
2.,Germany,23.56%
3.,France and territories,12.82%
3.1.,    France,12.82%
4.,China and territories,11.17%
4.1.,    China,9.90%
4.2.,    Hong Kong,1.69%
5.,Netherlands and territories,4.83%
5.1.,    Netherlands,4.83%
6.,Japan,4.59%
7.,Russian Federation,3.82%
8.,United Kingdom and territories,3.68%
8.1.,    United Kingdom,3.68%
9.,Ireland,3.11%
10.,India,3.08%
11.,Italy,2.79%
12.,Iran,2.47%
13.,Singapore,2.21%
14.,South Korea,2.07%
15.,Finland and territories,1.41%
15.1.,    Finland,1.41%
16.,Turkey,1.25%
17.,Canada,1.22%
18.,Sweden,1.09%
19.,Taiwan,0.83%
20.,Spain,0.75%
21.,Poland,0.72%
22.,Czech Republic,0.66%
23.,Australia,0.64%
24.,Viet Nam,0.59%
25.,Switzerland,0.58%
26.,Brazil,0.55%
27.,Indonesia,0.45%
28.,Ukraine,0.39%
29.,Azerbaijan,0.37%
30.,Saudi Arabia,0.37%
31.,Belgium,0.35%
32.,United Arab Emirates,0.35%
33.,Argentina,0.29%
34.,Romania,0.22%
35.,Austria,0.21%
36.,Slovakia,0.21%
37.,Mexico,0.21%
38.,Greece,0.19%
39.,Luxembourg,0.19%
40.,Thailand,0.18%
41.,Kazakhstan,0.16%
42.,South Africa,0.14%
43.,Portugal,0.14%
44.,Israel,0.13%
45.,Bulgaria,0.13%
46.,Pakistan,0.13%
47.,Angola,0.13%
48.,Hungary,0.11%
49.,Norway,0.11%
50.,Latvia,0.11%
51.,Venezuela,0.11%
52.,Chile,0.10%
53.,Turkmenistan,0.10%
54.,Malaysia,0.08%
55.,Estonia,0.08%
56.,Moldova,0.08%
57.,Denmark and territories,0.06%
57.1.,    Denmark,0.06%
58.,Croatia,0.06%
59.,Uzbekistan,0.06%
60.,Qatar,0.06%
61.,Belarus,0.05%
62.,Lithuania,0.05%
63.,Egypt,0.05%
64.,Algeria,0.05%
65.,Serbia,0.03%
66.,Bangladesh,0.03%
67.,Slovenia,0.03%
68.,Colombia,0.03%
69.,Bosnia and Herzegovina,0.03%
70.,Panama,0.03%
71.,Mongolia,0.02%
72.,Peru,0.02%
73.,Iceland,0.02%
74.,Kyrgyzstan,0.02%
75.,Morocco,0.02%
76.,North Macedonia,0.02%
77.,Ecuador,0.02%
78.,Cyprus,0.02%
79.,Kuwait,0.02%
80.,Albania,0.02%
81.,Cambodia,0.02%
