United States and territories,49.02%
Germany,26.11%
France and territories,11.99%
China and territories,10.90%
Netherlands and territories,4.51%
Japan,4.49%
Russian Federation,3.97%
United Kingdom and territories,3.70%
Italy,3.48%
Ireland,3.21%
India,3.11%
Iran,2.54%
Singapore,2.35%
South Korea,2.06%
Sweden,1.40%
Turkey,1.25%
Canada,1.19%
Finland and territories,1.03%
Taiwan,0.83%
Spain,0.76%
Poland,0.71%
Australia,0.65%
Czech Republic,0.65%
Switzerland,0.64%
Viet Nam,0.57%
Brazil,0.57%
Indonesia,0.54%
Ukraine,0.40%
Azerbaijan,0.40%
Saudi Arabia,0.40%
United Arab Emirates,0.37%
Belgium,0.33%
Argentina,0.29%
Austria,0.24%
Slovakia,0.24%
Romania,0.21%
Luxembourg,0.21%
Thailand,0.19%
Mexico,0.17%
South Africa,0.16%
Bulgaria,0.16%
Israel,0.14%
Greece,0.14%
Portugal,0.14%
Malaysia,0.13%
Kazakhstan,0.13%
Norway,0.13%
Venezuela,0.13%
Angola,0.13%
Hungary,0.11%
Chile,0.11%
Latvia,0.11%
Pakistan,0.11%
Belarus,0.10%
Moldova,0.10%
Turkmenistan,0.10%
Denmark and territories,0.08%
Estonia,0.08%
Croatia,0.06%
Uzbekistan,0.06%
Qatar,0.06%
Egypt,0.05%
Algeria,0.05%
Afghanistan,0.05%
Lithuania,0.03%
Serbia,0.03%
Bangladesh,0.03%
Peru,0.03%
Bosnia and Herzegovina,0.03%
Cyprus,0.03%
Kuwait,0.03%
Slovenia,0.02%
Colombia,0.02%
Tunisia,0.02%
Mongolia,0.02%
Iceland,0.02%
Kyrgyzstan,0.02%
North Macedonia,0.02%
Panama,0.02%
Albania,0.02%
Cambodia,0.02%
