Rank,Server Locations,Percentage Top 10,000 Sites
1,United States and territories,43.23%
1.1,    United States,43.23%
2,Germany,18.99%
3,France and territories,13.29%
3.1,    France,13.29%
4,China and territories,11.47%
4.1,    China,9.74%
4.2,    Hong Kong,2.70%
4.3,    Macao,0.02%
5,Japan,5.76%
6,Russian Federation,5.49%
7,Netherlands and territories,4.81%
7.1,    Netherlands,4.81%
8,Italy,4.36%
9,United Kingdom and territories,4.17%
9.1,    United Kingdom,4.15%
9.2,    Virgin Islands, British,0.02%
10,India,3.06%
11,South Korea,3.06%
12,Ireland,2.97%
13,Singapore,2.86%
14,Iran,2.49%
15,Austria,1.88%
16,Canada,1.75%
17,Spain,1.53%
18,Turkey,1.29%
19,Sweden,1.06%
20,Switzerland,1.01%
21,Hungary,0.96%
22,Taiwan,0.84%
23,Poland,0.71%
24,Brazil,0.68%
25,Czech Republic,0.66%
26,Finland and territories,0.58%
26.1,    Finland,0.58%
27,Viet Nam,0.55%
28,Indonesia,0.55%
29,Australia,0.52%
30,Belgium,0.51%
31,United Arab Emirates,0.44%
32,Ukraine,0.35%
33,Saudi Arabia,0.28%
34,Mexico,0.27%
35,Greece,0.25%
36,Azerbaijan,0.25%
37,Argentina,0.22%
38,South Africa,0.21%
39,Romania,0.19%
40,Kazakhstan,0.16%
41,Slovakia,0.16%
42,Norway,0.16%
43,Luxembourg,0.16%
44,Thailand,0.14%
45,Israel,0.14%
46,Bulgaria,0.14%
47,Latvia,0.14%
48,Malaysia,0.11%
49,Chile,0.11%
50,Estonia,0.09%
51,Portugal,0.09%
52,Pakistan,0.09%
53,Venezuela,0.09%
54,Croatia,0.08%
55,Moldova,0.08%
56,Egypt,0.08%
57,Qatar,0.08%
58,Angola,0.08%
59,Belarus,0.06%
60,Uzbekistan,0.06%
61,Denmark and territories,0.05%
61.1,    Denmark,0.05%
62,Lithuania,0.05%
63,Serbia,0.05%
64,Seychelles,0.05%
65,Bangladesh,0.03%
66,Mongolia,0.03%
67,Bosnia and Herzegovina,0.03%
68,North Macedonia,0.03%
69,Ecuador,0.03%
70,Cuba,0.03%
71,Turkmenistan,0.03%
72,Slovenia,0.02%
73,Nepal,0.02%
74,Colombia,0.02%
75,Peru,0.02%
76,Iceland,0.02%
77,Kyrgyzstan,0.02%
78,Algeria,0.02%
79,Armenia,0.02%
80,Panama,0.02%
81,Kuwait,0.02%
82,Cambodia,0.02%
83,Cote d'Ivoire,0.02%
