Server Locations,Percentage Top 1,000 Sites
United States and territories,52.4%
Germany,26.3%
China and territories,15.2%
France and territories,13.3%
Russian Federation,10.3%
United Kingdom and territories,5.8%
Japan,5.1%
Netherlands and territories,4.9%
Singapore,4.9%
Italy,4.5%
Ireland,3.8%
Iran,2.5%
Austria,2.4%
India,2.1%
Sweden,2.1%
South Korea,2.0%
Taiwan,1.8%
Canada,1.5%
Belgium,1.3%
Turkey,1.1%
Switzerland,1.1%
Hungary,1.1%
Indonesia,0.8%
Poland,0.8%
Czech Republic,0.8%
Spain,0.7%
United Arab Emirates,0.6%
Brazil,0.4%
Venezuela,0.4%
Viet Nam,0.3%
Finland and territories,0.3%
Kazakhstan,0.3%
Chile,0.3%
Luxembourg,0.3%
Australia,0.1%
Thailand,0.1%
Israel,0.1%
Denmark and territories,0.1%
Greece,0.1%
Malaysia,0.1%
Argentina,0.1%
Slovakia,0.1%
Norway,0.1%
Iceland,0.1%
Bosnia and Herzegovina,0.1%
Seychelles,0.1%
Angola,0.1%
