Rank,SSL Certificate Authorities,Percentage Top 10,000 Sites
1,DigiCert Group,47.74%
1.1,    DigiCert,47.52%
1.2,    Verisign,0.23%
2,IdenTrust,22.76%
3,GoDaddy Group,14.52%
3.1,    Starfield,10.64%
3.2,    GoDaddy,3.97%
4,Sectigo,13.41%
5,GlobalSign,9.20%
6,Entrust,1.83%
7,Certum,1.54%
8,Secom Trust,0.98%
9,Let’s Encrypt,0.51%
10,WISeKey Group,0.32%
10.1,    QuoVadis,0.32%
11,TWCA,0.16%
12,Trustwave,0.12%
13,SwissSign,0.09%
14,Actalis,0.08%
15,Deutsche Telekom,0.07%
16,Certigna,0.07%
17,Chunghwa Telecom,0.05%
18,AffirmTrust,0.05%
19,Hongkong Post,0.04%
20,D-Trust,0.04%
21,E-Tugra,0.01%
22,Logius,0.01%
23,Buypass,0.01%
24,Harica,0.01%
