.com,58.10%
.net,3.78%
.org,2.57%
.ru,2.47%
.jp,2.45%
.cn,2.16%
.in,1.54%
.io,1.33%
.de,0.94%
.ir,0.86%
.fr,0.86%
.br,0.78%
.au,0.75%
.kr,0.75%
.co,0.72%
.tw,0.72%
.edu,0.72%
.az,0.72%
.gov,0.72%
.tv,0.69%
.uk,0.65%
.it,0.65%
.ca,0.61%
.gr,0.59%
.tr,0.58%
.mx,0.51%
.pl,0.50%
.id,0.49%
.es,0.48%
.cc,0.42%
.to,0.40%
.vn,0.38%
.me,0.38%
.sa,0.34%
.ar,0.28%
.ua,0.25%
.cl,0.20%
.ao,0.20%
.pk,0.19%
.za,0.18%
.app,0.18%
.sk,0.18%
.info,0.17%
.cz,0.17%
.hk,0.16%
.be,0.16%
.news,0.16%
.sg,0.15%
.il,0.14%
.ch,0.14%
.my,0.14%
.pe,0.13%
.ng,0.13%
.xyz,0.11%
.kz,0.11%
.hr,0.11%
.gg,0.11%
.us,0.10%
.ma,0.10%
.at,0.10%
.live,0.10%
.is,0.10%
.ro,0.09%
.se,0.09%
.ai,0.09%
.fi,0.09%
.lv,0.09%
.eg,0.09%
.qa,0.09%
.nl,0.08%
.eu,0.08%
.online,0.08%
.th,0.08%
.ae,0.08%
.hu,0.08%
.no,0.08%
.lk,0.08%
.pt,0.08%
.la,0.08%
.nz,0.07%
.biz,0.07%
.site,0.07%
.ph,0.07%
.bd,0.07%
.dev,0.07%
.ly,0.07%
.im,0.07%
.tm,0.07%
.rs,0.06%
.pro,0.06%
.dk,0.06%
.vip,0.06%
.ve,0.06%
.so,0.06%
.li,0.06%
.by,0.05%
.ie,0.05%
.top,0.05%
.bg,0.05%
.uz,0.05%
.finance,0.05%
.network,0.05%
.dz,0.05%
.ws,0.05%
.fm,0.05%
.win,0.05%
.xxx,0.05%
.kw,0.05%
.st,0.05%
.google,0.05%
.рф,0.03%
.lt,0.03%
.am,0.03%
.ee,0.03%
.si,0.03%
.ba,0.03%
.do,0.03%
.one,0.03%
.today,0.03%
.guru,0.03%
.ag,0.03%
.ac,0.03%
.mg,0.03%
.download,0.03%
.tube,0.03%
.int,0.03%
.sbi,0.03%
.club,0.02%
.ke,0.02%
.mk,0.02%
.md,0.02%
.asia,0.02%
.ec,0.02%
.media,0.02%
.pw,0.02%
.work,0.02%
.vc,0.02%
.cat,0.02%
.nu,0.02%
.aero,0.02%
.company,0.02%
.video,0.02%
.re,0.02%
.run,0.02%
.cu,0.02%
.party,0.02%
.lol,0.02%
.sx,0.02%
.lc,0.02%
.shop,0.01%
.su,0.01%
.np,0.01%
.tn,0.01%
.blog,0.01%
.uy,0.01%
.space,0.01%
.mn,0.01%
.digital,0.01%
.al,0.01%
.world,0.01%
.design,0.01%
.cloud,0.01%
.global,0.01%
.py,0.01%
.ga,0.01%
.name,0.01%
.jo,0.01%
.icu,0.01%
.lu,0.01%
.games,0.01%
.mu,0.01%
.education,0.01%
.pa,0.01%
.wiki,0.01%
.kh,0.01%
.zone,0.01%
.tools,0.01%
.care,0.01%
.ninja,0.01%
.chat,0.01%
.iq,0.01%
.press,0.01%
.services,0.01%
.sh,0.01%
.jobs,0.01%
.trade,0.01%
.cm,0.01%
.page,0.01%
.farm,0.01%
.wtf,0.01%
.help,0.01%
.cam,0.01%
.email,0.01%
.mm,0.01%
.watch,0.01%
.cx,0.01%
.ovh,0.01%
.pub,0.01%
.bid,0.01%
.eus,0.01%
.training,0.01%
.game,0.01%
.tc,0.01%
.ms,0.01%
.sc,0.01%
.lat,0.01%
.onl,0.01%
.fyi,0.01%
.porn,0.01%
.deals,0.01%
.menu,0.01%
.pm,0.01%
.sexy,0.01%
.mil,0.01%
.fo,0.01%
.gratis,0.01%
.taipei,0.01%
.gl,0.01%
.restaurant,0.01%
.town,0.01%
.gal,0.01%
.fans,0.01%
.garden,0.01%
.desi,0.01%
.bnpparibas,0.01%
.dhl,0.01%
.bradesco,0.01%
.sncf,0.01%
.kpmg,0.01%
