Amazon,24.03%
Zendesk,4.79%
Google,4.55%
Alibaba,3.50%
China Telecom,2.39%
WP Engine Group,2.15%
Microsoft,2.04%
OVH,1.88%
Hetzner,1.68%
Salesforce,1.43%
China Unicom,1.41%
Shopify,1.39%
Automattic Group,1.29%
Tencent,1.12%
DigitalOcean,0.90%
Verizon Group,0.83%
Netlify,0.74%
Webflow,0.60%
LeaseWeb Group,0.56%
Pantheon,0.55%
CenturyLink,0.54%
HubSpot,0.52%
Asiatech,0.51%
China Mobile,0.51%
XBT Holding,0.50%
Acquia,0.49%
GoDaddy Group,0.46%
Rackspace,0.44%
Linode,0.42%
Vercel,0.42%
Hurricane Electric,0.42%
Selectel,0.39%
Newfold Digital,0.36%
NTT Group,0.36%
KT Group,0.36%
Medium,0.35%
Kinsta,0.33%
Advanced Hosting,0.31%
United Internet,0.30%
LG Group,0.30%
GitHub,0.27%
IBM,0.27%
Yandex,0.26%
Internet Initiative Japan,0.26%
Chunghwa Telecom,0.24%
Telefónica Group,0.24%
IDC Frontier,0.24%
Squarespace,0.23%
Neustar,0.23%
Liquid Web,0.22%
Oracle,0.22%
Internap Group,0.21%
SK Group,0.21%
Pagely,0.21%
Delta Telecom,0.21%
Sakura,0.19%
VNPT,0.19%
UCloud,0.19%
Heroku,0.18%
Scaleway,0.17%
Hivelocity,0.16%
CSC,0.16%
SiteGround,0.15%
XServer,0.15%
Deutsche Telekom Group,0.15%
Vodafone,0.15%
Zoho,0.15%
Contabo,0.14%
Afranet,0.14%
Zenlayer,0.14%
Choopa,0.13%
Serverel,0.13%
Pars Online,0.11%
Cogent,0.11%
Wix,0.10%
Namecheap,0.10%
GMO Internet Group,0.10%
Aruba Group,0.10%
First Colo,0.10%
Hostinger,0.09%
REG.RU,0.09%
InMotion,0.09%
KDDI Group,0.09%
Equinix,0.09%
DreamHost,0.08%
Pars Parva System,0.08%
Pair Networks,0.08%
AT&T,0.08%
HKBN,0.08%
Codero,0.08%
NetEase,0.08%
team.blue,0.07%
A2 Hosting,0.07%
FPT,0.07%
PhoenixNAP,0.07%
Rostelecom Group,0.07%
QuadraNet,0.07%
Limestone Networks,0.07%
Cnservers,0.07%
Baidu,0.07%
Turkmentelecom,0.07%
Wikimedia,0.07%
RBC Group,0.06%
Bigcommerce,0.06%
